clean_text,Category
blair rejects iraq advice calls tony blair rejected calls publication advice legality iraq war amid growing calls investigation prime minister told monthly press conference matter dealt attorney general earlier conservative mp michael mates joined calls probe claims lord goldsmith statement parliament drawn number mr blair said statement fair summary lord goldsmith opinion lord goldsmith said say dealt time time time mr blair told monthly news conference downing street refused answer questions issue saying dealt literally scores times position changed lord goldsmith denied leaned says words written government refuses publish advice legality war saying papers always kept confidential mr mates member commons intelligence security committee part butler inquiry prewar intelligence told bbc friday general rule right absolute rule said occasions advice published recently regarding prince charles marriage plans government could pick choose use convention said mr mates added discovered two three occasions past law officers advice government published may one special occasions would public interest see advice attorney general gave prime minister argument rejected mr blair said firstly broken precedent secondly peter goldsmith made statement got absolutely nothing add book published week philippe sands qc member cherie blair matrix chambers says lord goldsmith warned tony blair march iraq war could illegal without second un resolution sanctioning military action short statement lord goldsmith position presented written parliamentary answer march crucial commons vote military action mr sands book suggests actually written home office minister lord falconer downing street adviser baroness morgan former minister clare short resigned government iraq war said statement earlier shown cabinet discussed military action told bbc full advice attached according ministerial code view need house lords set special committee summon attorney get papers look exactly happened said conservatives liberal democrats say want publication full legal advice given attorney general thursday lord goldsmith said statement written number parliamentary answer march explained genuinely held independent view military action lawful existing security council resolutions said,politics
housewives lift channel ratings debut us television hit desperate housewives helped lift channel january audience share compared last year successes celebrity big brother simpsons enabled broadcaster surpass bbc first month since last july however channel share audience fell last month comparison january celebrity big brother attracted less viewers series comedy drama desperate housewives managed pull five million viewers one point run date attracting quarter television audience two main television channels bbc itv seen monthly audience share decline year year comparison january five proportion remained slender digital multichannel tv continuing strongest area growth bbc reporting freeview box ownership five million including one million sales last portion share audience soared january compared last year currently stands average,entertainment
uk coal plunges deeper loss shares uk coal fallen mining group reported losses deepened uk biggest coal producer blamed geological problems industrial action operating flaws deep mines worsening fortunes south yorkshire company led new chief executive gerry spindler said hoped return profit early trade thursday shares pence uk coal said making significant progress shaking business introduced new wage structures new daily maintenance regime machinery mines methods continue mining adverse conditions company said actions significantly uplift earnings expected transitional year return profitability recent rise coal prices failed benefit company output already sold said total production costs per gigajoule uk coal said average selling price per gigajoule long journey ahead fix issues continue make progress great strides already made said mr spindler uk coal operates deep surface mines across nottinghamshire derbyshire leicestershire yorkshire west midlands northumberland durham,business
bp surges ahead high oil price oil giant bp announced rise annual profits bn bn back record oil prices last week rival shell reported annual profit bn record profit uklisted company bp added increasing fourthquarter dividend cents would continue share buybacks bp chief executive lord browne said results strong operationally financially company earning hour despite record annual profits figure bp performance expectations city analysts however bp share price rose p nearly morning trading p profit rise year included profits bn bn final three months bn year ago third quarter speaking bbc today programme tuesday lord browne said profits solely high oil price alone profits price oil said lord browne pointed bp reaping benefits investment oil exploration spent many years buying assets price low said company made new discoveries egypt gulf mexico angola however lord browne rejected calls windfall tax company huge profits saying north sea paid progressively tax profits made lord browne believes oil prices remain quite high currently barrel said price oil well supported barrel medium term bp put production year billion barrels oil slightly lower four billion barrels initially aimed,business
ireland argentina injurytime dropped goal ronan gara stole victory ireland underneath noses argentina lansdowne road saturday gara kicked ireland points two dropped goals five penalties give home side record autumn internationals impressive argentina appeared control dying seconds pumas shocked irish early try federico aramburu felipe contepomi kicked points welldrilled sharper pumas outplayed outthought ireland early stages indiscipline allowed argentina leinster flyhalf contepomi open scoring third minute straightforward penalty mark two minutes later argentina shocked ragged ireland first try game ireland turned ball manuel contepomi broke unstructured defence feeding midfield partner aramburu sprint posts gara finally got ireland board dropped goal ninth minute contepomi rifle second penalty two minutes later playing strong wind rain ireland continued come second best tight situations turnovers began mount rugged defence gara managed land second penalty th minute contepomi replied kind four minutes firsthalf injury time secondhalf started first ended gara rifled another penalty th minute contepomi matched three minutes later upperbody strength pumas never allowed ireland take control front threequarters space manoeuvre ireland rely gara boot keep touch rather contrived running plays munsterman landed two penalties one metres bring team within four points minutes clock remaining ireland chance came argentina number eight gonzalo longo yellow carded six minutes go offence lineout gara made mistake rifled fifth penalty set tense final minutes ireland showed great composure get position allow gara thump massive drop goal complete tremendous fortuitous comeback,sport
wenger signs new deal arsenal manager arsene wenger signed new contract stay club may wenger ended speculation future agreeing longterm contract takes beyond opening arsenal new stadium two years said signing new contract rubberstamps desire take club forward fulfil ambitions still much achieve target drive club exciting times arsenal yearold frenchman told arsenal website wwwarsenalcom intention always clear love club happy wenger title fa cup three times reign chairman peter hillwood said absolutely delighted arsene signed extension contract since arrival revolutionised club pitch well six major honours time arsene leading influence behind major initiatives club including construction new training centre also new stadium club continued reap benefits arsene natural eye unearthing footballing talent currently fantastic crop young players coming ranks together number worldclass players playing wonderful brand football meanwhile arsenal director danny fiszman looking wenger stay beyond come towards end contract review situation sure want stay hope said fiszman,sport
u desire number one u three prestigious grammy awards hit vertigo stubbornly clinging status one biggest bands world popular groups history rock several things common music must inspired appeal across generations distinctive always groundbreaking success music compelling performers charismatic intelligent enough make good decisions keep feet ground also want want biggest band ever stop wanting beatles rolling stones still rem hold onto queen catsuit u spades keep churning new album dismantle atomic bomb comes years schoolfriends got together dublin years joshua tree cemented place alltime rock alist may lost edginess raw youthful force propelled top lost none desire ability craft songs albums vertigo first single new album went straight uk singles chart number one knocking eminem top spot giving th top hit challenge bigger bolder better make records whole world listen bono recently said drummer larry mullen jr echoed sentiments competitive want radio big singles want thought veteran band band done everything considerable powers ensure remain biggest band world according q magazine editor paul rees makes hugely determined formidable added equally determined push make music continues stand constantly reinvented challenged perhaps alone rock band got better age key ingredient fact highly organised mr rees said everything right way group born mullen put appeal bandmates high school notice board attracting fellow pupils paul hewson bono vocals adam clayton bass david evans edge guitar brother dick dick evans soon dropped fourpiece known feedback hype settling u talent contest got noticed manager paul mcguinness brilliant coarse mcguinness recently said way exactly badly struggled attract record company attention later described pretty damn average strange eerie scouts saw live released two irelandonly singles topped national charts leading deal island debut album boy stadiumfilling anthemic sound u aim start third album war saw make breakthrough sides atlantic going number one uk us songs like sunday bloody sunday new year day brought success image political spiritual band bono rejected cliche stage performances included flagwaving speakerclimbing drumthrowing earned reputation electric performer appearance live aid widely seen sealing global stardom joshua tree broke sales records saw band reach height powers hits including streets name still found looking without songs took band epic atmospheric sound simple powerful popular pinnacle end decade marked crucial point band reached top still yearned new challenges achievements came form explorations different branches rock forays electronic dance music plus wildly extravagant stage shows still trying retain mass appeal achtung baby album followed zooropa pop corresponding stadium tours featured giant olives flying cars live phone calls white house bono transformation alteregos fly macphisto also building parallel reputation always pleasure bandmates campaigner issues global debt aids release dismantle atomic bomb sold million albums around world still want,entertainment
hantuchova dubai last eight daniela hantuchova moved quarterfinals dubai open beating elene likhotseva russia faces serena williams australian open champion williams survived early scare beat russia elena bovina world number one lindsay davenport anastasia myskina also progressed davenport defeated china jie zheng french open champion myskina sailed opponent marion bartoli retired hurt american davenport face fellow former wimbledon champion conchita martinez spain ousted seventhseeded nathalie dechy france myskina face eighthseed patty schnyder switzerland defeated china li na quarter final pits wild card sania mirza india jelena jankovic serbia montenegro tuesday meeting martinez davenport believes room improvement game started well finished well played soso games middle said williams also far content know said really windy played wind shots going hantuchova upbeat mood ahead clash younger williams sister handed firstround bye feel advantage serena already played two matches courts said difficult court play fast sometimes feel control ball,sport
melzer shocks agassi san jose second seed andre agassi suffered comprehensive defeat jurgen melzer quarterfinals sap open agassi often bamboozled austrian drop shots san jose losing defending champion top seed andy roddick rallied beat sweden thomas enqvist unseeded cyril saulnier beat fourth seed vincent spadea tommy haas overcame eighth seed max mirnyi melzer beaten agassi two three meetings good game plan executed perfectly said always tough come play andre want play game makes run like dog court agassi matched power opponent twohanded backhand said melzer example several players tour willing take chances lot guys capable said american played much better times opportunities loosen agassi added convert big points,sport
moving mobile improves golf swing mobile phone recognises responds movements launched japan motionsensitive phone officially titled vsh developed sharp launched vodafone japanese division devised mainly mobile gaming users also access phone functions using preset pattern arm movements phone allow golf fans improve swing via golfing game prefer shoot emups able use phone like gun shoot zombies mobile version sega house dead phone comes tiny motioncontrol sensor computer chip responds movement features include display screen allows users watch tv rotate degrees also doubles electronic musical instrument users select sound menu includes clapping tambourine maracas shake phone create beat recommended karaoke market phone initially available japan due go sale midfebruary new gadget could make interesting peoplewatching among japanese commuters able access mobiles subway fishing afficiandos south korea already using phone allows simulate movement rod phs phone dubbed sportsleisure gadget developed korean phone giant pantech also used runners measure calorie consumption distance run,tech
hewitt overcomes wobble sydney lleyton hewitt gave perfect preparation next week australian open victory ivo minar final sydney international defending champion brushed aside czech qualifier australian world number three strolled first five games match shocked minar next five top seed rattled recovered close set raced victory exactly hour strange match momentum swings said hewitt felt like came blocks extremely well loosened bit got back try settle take notch able hewitt lifted sydney title four times last six years keeps getting better better every year hewitt said played tournament four times four times hewitt went final shortpriced favourite clinch th career title dropping one set week set meet frenchman arnaud clement first round australian open minar ranked th world forced pull australian open qualifying draw play first atp final big success said yearold nervous last night sleep never played top player wanted play qualifying melbourne saturday still main draw need points money alicia molik takes samantha stosur allaustralian women final later saturday,sport
carry star patsy rowlands dies actress patsy rowlands known millions roles carry films died age rowlands starred nine popular carry films alongside fellow regulars sid james kenneth williams barbara windsor also carved successful television career appearing many years itv wellloved comedy bless house rowlands died hove saturday morning agent said born january rowlands scholarship guildhall school speech drama scholarship spending several years players theatre london made film debut tom jones directed tony richardson made first carry film appeared carry doctor rowlands played harddoneby wife putupon employee regular carry star also appeared carry convenience carry matron carry loving well others recent years appeared bbc miniseries cazalets played mrs potts london stage version beauty beast agent simon beresford said absolutely favourite client never complained anything particularly ill old trouper old school skills musical theatre high drama worked great good directors mind always recognised carry films thoroughly enjoyed making really lovely person much missed last appearance stage mrs pearce awardwinning production fair lady national theatre previously married leaves one son alan funeral private family occasion memorial service later date,entertainment
serena becomes world number two serena williams moved five places second world rankings australian open win williams first grand slam title since victory lindsay davenport world number one men champion marat safin remains fourth atp rankings beaten finalist lleyton hewitt replaces andy roddick world number two roger federer retains top spot safin overtaken hewitt become new leader champions race alicia molik lost threeset thriller davenport quarterfinals women top first time career rise means australia player top men women rankings first time years britain elena baltacha qualified reached third round risen world leap places highest ranking yet,sport
ferguson urges henry punishment sir alex ferguson called football association punish arsenal thierry henry incident involving gabriel heinze ferguson believes henry deliberately caught heinze head knee united controversial win united boss said worse ruud van nistelrooy foul ashley cole got threegame ban shall present fa see tackle heinze terrible said clubs permitted ask fa examine specific incidents information expected provided within hours game clash occurred moments halftime freddie ljungberg challenge left heinze ground left touchline henry following ball attempted hurdle argentine knee collided back heinze head striker protested innocence referee mike riley deemed collision accidental ferguson also upset arsenal overall discipline heated encounter two archrivals praised side behaviour edu produced terrible tackle scholes potential legbreaker said fouls game arsenal seven heinze five ronaldo six vieira sixth foul got booked phil neville got booked first challenge proud players way handled pressure always good gracious defeat happened sunday overshadowed achievement time,sport
bt boosts broadband packages british telecom said double broadband speeds home business customers increased speeds come extra charge follows similar move internet service provider aol many bt customers download speeds mbps although usage allowances one gigabyte gigabytes month new speeds start come effect february home customers april businesses britain broadband britain said duncan ingram bt managing director broadband internet services added ninety percent customers see real increases speed speed increases give people opportunity lot broadband connections said upload speeds speed information sent pc via broadband remain speed said mr ingram despite increases bt continue usage allowances home customers allowances extremely generous said mr ingram seeing market place really issue bt begin enforcing allowances summer customers exceed amounts either able pay bigger allowance see download speeds reduced bt share broadband market becoming increasingly competitive last months many rival isps begun offer mbps services including aol plusnet uk online britain continues lag behind countries especially japan south korea offer broadband speeds mbps mr ingram said important separate hype reality said limited number people connections consistently received speeds mbps customers see connections double immediately february mr ingram said would roll across network order prevent problems,tech
china role yukos splitup china lent russia bn bn help russian government renationalise key yuganskneftegas unit oil group yukos revealed kremlin said tuesday bn russian state bank veb lent stateowned rosneft help buy yugansk turn came chinese banks revelation came russian government said rosneft signed longterm oil supply deal china deal sees rosneft receive bn credits china cnpc according russian newspaper vedomosti credits would used pay loans rosneft received finance purchase yugansk reports said cnpc offered yugansk return providing finance company opted longterm oil supply deal instead analysts said one factor might influenced chinese decision possibility litigation yukos yugansk former owner cnpc become shareholder rosneft veb declined comment two companies rosneft cnpc agreed prepayment longterm deliveries said russian oil official sergei oganesyan nothing unusual prepayment five six years announcements help explain rosneft mediumsized indebted relatively unknown firm able finance surprise purchase yugansk yugansk sold bn auction last year help yukos pay part bn bill unpaid taxes fines embattled russian oil giant previously filed bankruptcy protection us court attempt prevent forced sale main production arm yugansk sold little known shell company turn bought rosneft yukos claims downfall punishment political ambitions founder mikhail khodorkovsky country richest man mr khodorkovsky trial fraud tax evasion deal rosneft cnpc seen part china desire secure longterm oil supplies feed booming economy china thirst products crude oil copper steel helped pushed global commodity prices record levels clearly chinese trying get leverage russia said dmitry lukashov analyst brokerage aton understand property rights russia important rights interested guaranteeing supplies price oil fixed deal unlikely could profitable chinese mr lukashov continued rosneft desperate need cash good deal,business
peertopeer nets stay peertopeer pp networks stay verge exploited commercial media firms says panel industry experts several highprofile legal cases filesharers resolved year firms keen try make money pp technology expert panel probed future pp consumer electronics show las vegas earlier january first convictions pp piracy handed us january william trowbridge michael chicoine pleaded guilty charges infringed copyright illegally sharing music movies software since first successful filesharing network napster forced close entertainment industry nervous critical pp technology blaming falling sales piracy going change soon according panel music film industries started big legal cases owners legitimate pp networks illegal individuals accused distributing pirated content networks slowly realised pp good way distribute content said travis kalanick founder chairman pp network red swoosh soon going want slice waiting come business models work includes digital rights management copyprotection standards legal actions resolved experimentation pp cannot happen said michael weiss president streamcast networks remembering furore around vcrs first came mr weiss said old media always tries stop new media stop try control figure make money always make lot money courts decided vcr illegal technology film studios turned extremely lucrative business august san franciscobased us court appeals ruled favour grokster streamcast two filesharing networks court said essentially position sony vcr battle said networks could deemed illegal pp networks usually rely dedicated servers transfer files instead uses direct connections computers clients many different types pp systems work different ways pp nets used share kind file like photos free software licensed music digital content bbc already decided embrace technology aims offer programmes download year use pp technology distribute files would locked seven days programme aired making rights management easier control technology still demonised misunderstood many global entertainment industry says billion copyrighted music files downloaded every month half million films downloaded day legal music download services like apple itunes napster rushed music marketplace try lure filesharers away free content sales legallydownloaded songs grew tenfold million tracks bought online us europe months ifpi reported week download services different pp networks least financial aspect several moneyspinning models could turn pp golden egg commercial entertainment companies paidforpassalong firms receive money time file shared along various drm solutions advertiserbased options considered see going different models commoditising pp said marc morgenstern vice president antipiracy firm overpeer consumers hungry discover new models together agreed mr morgenstern many net users continue ignore entertainment industry potential controlling grip content pp technology continuing use creations unsigned bands example use pp networks distribute music effectively also draws attention record companies looking new artists sign increasingly seeing pp consumercreated content said derek broes microsoft probably pay increasing role helping pp spread said looking pp future file sharing beginning pp networks far mr broes concerned issues resolved going see aggressive movement protect content also ways unimaginable said filesharing tip iceberg,tech
henman face saulnier test british number one tim henman face france cyril saulnier first round next week australian open greg rusedski british number two quarter draw could face andy roddick second round beats swede jonas bjorkman local favourite lleyton hewitt meet france arnaud clement defending champion world number one roger federer faces fabrice santoro women top seed lindsay davenport drew spanish veteran conchita martinez henman came two sets defeat saulnier first round french open last year knows faces tough test melbourne seventh seed never gone beyond quarterfinals year first major lined meet roddick last eight looking forward match tough player surface got lot ability said really tight one paris went way going need play well outset dangerous competitor switzerland federer seeded one hot favourite three four grand slam titles beaten santoro five seven previous encounters taking nothing granted tricky match federer said played us open quite comfortably never know rhythm bit keep guessing make difficult important thing though get used playing fiveset matches winning yearold could meet fourtime champion andre agassi quarterfinals meeting russian marat safin player beat last year final eighthseeded american agassi set play qualifier round one shake hip injury ruled kooyong classic second seed andy roddick open campaign irakli labadze georgia american could meet rusedski second round seventh seed henman quarterfinals hewitt last four hewitt hoping become first australian man win event since mark edmondson yearold never beyond round four eight attempts melbourne park least secured opposite half draw federer beat australian open wimbledon us open last year safin seeded four opens campaign qualifier th seed tommy haas player beat semifinals possible fourthround opponent women draw davenport could encounter eighthseeded venus williams quarterfinals thirdranked anastasia myskina french open champion semifinals bronchitis ruled davenport australian open champion sydney quarterfinal thursday venus williams lost younger sister serena melbourne final two years ago opens eleni daniilidou greece serena williams fourth consecutive grand slam australian open drawn bottom quarter second seed amelie mauresmo runnerup serena open another frenchwoman camille pin mauresmo plays australia samantha stosur wimbledon champion maria sharapova seeded fourth drew qualifier first round could meet fellow russian svetlana kuznetsova us open winner last eight roger federer switzerland andy roddick us lleyton hewitt australia marat safin russia carlos moya spain guillermo coria argentina tim henman britain andre agassi us david nalbandian argentina gaston gaudio argentina joachim johansson sweden guillermo canas argentina tommy robredo spain sebastien grosjean france mikhail youzhny russia tommy haas germany andrei pavel romania nicolas massu chile vincent spadea us dominik hrbaty slovakia nicolas kiefer germany ivan ljubicic croatia fernando gonzalez chile feliciano lopez spain juan ignacio chela argentina nikolay davydenko russia paradorn srichaphan thailand mario ancic croatia taylor dent us thomas johansson sweden juan carlos ferrero spain jurgen melzer austria lindsay davenport us amelie mauresmo france anastasia myskina russia maria sharapova russia svetlana kuznetsova russia elena dementieva russia serena williams us venus williams us vera zvonareva russia alicia molik australia nadia petrova russia patty schnyder switzerland karolina sprem croatia francesca schiavone italy silvia farina elia italy ai sugiyama japan fabiola zuluaga colombia elena likhovtseva russia nathalie dechy france tatiana golovin france amy frazier us magdalena maleeva bulgaria jelena jankovic serbia montenegro mary pierce france lisa raymond us daniela hantuchova slovakia anna smashnova israel shinobu asagoe japan gisela dulko argentina flavia pennetta italy jelena kostanic croatia iveta benesova czech republic,sport
uk stand firm eu rebate britain bn eu rebate renegotiation next week european council summit jack straw said foreign secretary told mps rebate secured margaret thatcher entirely justified new european commission president jose manuel barroso suggested cash could shared among net contributors eu budget mr straw acknowledged countries newly enlarged nation eu still see light rebate foreign secretary told commons foreign affairs committee position clear entirely justified negotiation added think would political price pay uk stance britain contributed received less eu states twoday european council summit brussels begins december widely expected mark beginning lengthy negotiating period eu budget wrangling could stretch even uk france germany austria netherlands sweden want eu budget capped member states combined national incomes commission wants mr straw said eu commission proposal would mean hike budget know national government thinking increasing budget amount added foreign secretary said hoped talks next week could produce date beginning negotiations turkey possible eu membership although would prospect date joining time,politics
